iter	Passed	Remaining
831	337880	68225
832	338304	67823
833	338706	67416
834	339099	67007
835	339510	66602
836	339899	66193
837	340310	65787
838	340662	65371
839	341061	64964
840	341467	64558
841	341826	64143
842	342183	63728
843	342583	63321
844	342967	62911
845	343360	62502
846	343779	62099
847	344166	61690
848	344594	61288
849	344974	60877
850	345356	60467
851	345866	60080
852	346266	59673
853	346652	59263
854	347041	58854
855	347471	58453
856	347848	58042
857	348259	57637
858	348670	57232
859	349066	56824
860	349487	56421
861	349883	56013
862	350307	55610
863	350717	55205
864	351141	54802
865	351573	54400
866	351999	53997
867	352396	53590
868	352832	53188
869	353285	52789
870	353728	52389
871	354153	51985
872	354598	51585
873	354960	51172
874	355362	50766
875	355769	50360
876	356172	49953
877	356588	49548
878	356960	49137
879	357374	48732
880	357810	48330
881	358230	47926
882	358649	47522
883	359043	47114
884	359443	46707
885	359863	46302
886	360268	45896
887	360649	45487
888	361063	45082
889	361501	44679
890	361888	44271
891	362323	43868
892	362705	43459
893	363096	43051
894	363510	42646
895	363927	42241
896	364352	41837
897	364769	41432
898	365169	41025
899	365577	40619
900	365932	40207
901	366354	39803
902	366764	39397
903	367159	38990
904	367533	38580
905	367924	38173
906	368327	37766
907	368714	37358
908	369140	36954
909	369535	36547
910	369913	36138
911	370315	35732
912	370725	35326
913	371115	34918
914	371542	34514
915	371926	34106
916	372340	33701
917	372717	33292
918	373125	32887
919	373549	32482
920	373904	32072
921	374303	31665
922	374724	31260
923	375146	30856
924	375554	30450
925	375948	30043
926	376449	29644
927	376843	29237
928	377253	28832
929	377655	28425
930	378074	28020
931	378510	27616
932	378918	27210
933	379319	26804
934	379733	26398
935	380128	25991
936	380510	25583
937	380915	25177
938	381311	24771
939	381719	24365
940	382065	23955
941	382471	23549
942	382865	23142
943	383236	22734
944	383618	22326
945	384028	21921
946	384461	21516
947	384861	21110
948	385255	20703
949	385680	20298
950	386092	19893
951	386523	19488
952	386936	19082
953	387366	18678
954	387788	18272
955	388170	17865
956	388586	17459
957	388984	17053
958	389393	16647
959	389788	16241
960	390199	15835
961	390613	15429
962	390994	15022
963	391439	14618
964	391799	14210
965	392218	13804
966	392589	13397
967	392983	12991
968	393403	12585
969	393819	12179
970	394205	11773
971	394594	11366
972	394995	10960
973	395421	10555
974	395840	10149
975	396213	9742
976	396616	9336
977	396960	8929
978	397345	8523
979	397750	8117
980	398148	7711
981	398568	7305
982	398985	6900
983	399410	6494
984	399786	6088
985	400190	5682
986	400596	5276
987	401051	4871
988	401493	4465
989	401883	4059
990	402329	3653
991	402716	3247
992	403108	2841
993	403498	2435
994	403921	2029
995	404334	1623
996	404726	1217
997	405100	811
998	405590	405
999	406001	0
